"charger_id","station_id","charger_type","power_kw","charger_status"
301,201,"DC Fast",60.00,"Available"
302,201,"DC Fast",60.00,"Available"
303,201,"AC",22.00,"Available"
304,201,"AC",22.00,"Maintenance"
305,202,"DC Fast",120.00,"Available"
306,202,"DC Fast",60.00,"Available"
307,202,"AC",22.00,"Available"
308,203,"DC Fast",150.00,"Available"
309,203,"DC Fast",120.00,"Available"
310,203,"AC",22.00,"Available"
311,204,"DC Fast",60.00,"Available"
312,204,"AC",22.00,"Available"
313,205,"DC Fast",180.00,"Available"
314,205,"DC Fast",150.00,"Available"
315,205,"DC Fast",120.00,"Maintenance"
316,205,"AC",22.00,"Available"
317,206,"DC Fast",150.00,"Available"
318,206,"DC Fast",120.00,"Available"
319,206,"AC",22.00,"Available"
320,207,"DC Fast",60.00,"Available"
321,207,"AC",22.00,"Available"
322,208,"DC Fast",150.00,"Available"
323,208,"DC Fast",120.00,"Available"
324,208,"AC",22.00,"Maintenance"
325,209,"DC Fast",60.00,"Available"
326,209,"AC",22.00,"Available"
327,210,"DC Fast",120.00,"Available"
328,210,"DC Fast",60.00,"Available"
329,210,"AC",22.00,"Available"
