"session_id","customer_id","vehicle_id","charger_id","start_time","end_time","energy_consumed_kwh","session_status"
1001,1,101,301,"2025-01-05 08:15:00","2025-01-05 09:05:00",28.40,"Completed"
1002,2,102,305,"2025-01-07 18:20:00","2025-01-07 19:10:00",36.70,"Completed"
1003,3,103,308,"2025-01-10 10:30:00","2025-01-10 11:25:00",48.20,"Completed"
1004,4,104,310,"2025-01-12 07:45:00","2025-01-12 09:00:00",25.60,"Completed"
1005,5,105,313,"2025-01-15 20:10:00","2025-01-15 20:55:00",31.80,"Completed"
1006,6,106,317,"2025-01-18 09:30:00","2025-01-18 10:40:00",42.50,"Completed"
1007,7,107,322,"2025-01-20 17:15:00","2025-01-20 18:05:00",38.90,"Completed"
1008,8,108,325,"2025-01-22 12:20:00","2025-01-22 13:05:00",15.40,"Completed"
1009,9,109,302,"2025-01-25 08:50:00","2025-01-25 09:45:00",30.10,"Completed"
1010,10,110,311,"2025-01-27 19:30:00","2025-01-27 20:25:00",27.80,"Completed"
1011,1,121,303,"2025-02-02 18:10:00","2025-02-02 19:25:00",14.80,"Completed"
1012,11,111,314,"2025-02-04 11:00:00","2025-02-04 11:50:00",45.60,"Completed"
1013,12,112,318,"2025-02-06 16:20:00","2025-02-06 17:15:00",32.70,"Completed"
1014,13,113,320,"2025-02-08 09:10:00","2025-02-08 10:00:00",21.30,"Completed"
1015,14,114,323,"2025-02-10 21:00:00","2025-02-10 21:45:00",35.80,"Completed"
1016,15,115,327,"2025-02-12 13:15:00","2025-02-12 14:10:00",41.20,"Completed"
1017,16,116,306,"2025-02-15 07:30:00","2025-02-15 08:25:00",29.60,"Completed"
1018,17,117,328,"2025-02-17 18:40:00","2025-02-17 19:30:00",34.10,"Completed"
1019,18,118,309,"2025-02-20 10:45:00","2025-02-20 11:35:00",46.80,"Completed"
1020,19,119,319,"2025-02-22 15:20:00","2025-02-22 16:10:00",37.50,"Completed"
1021,20,120,329,"2025-02-25 20:15:00","2025-02-25 21:00:00",43.20,"Completed"
1022,6,122,321,"2025-03-01 08:20:00","2025-03-01 09:05:00",18.90,"Completed"
1023,11,123,315,"2025-03-03 14:10:00",NULL,0.00,"Cancelled"
1024,16,124,324,"2025-03-05 19:00:00",NULL,0.00,"Cancelled"
1026,3,103,302,"2025-03-10 17:40:00","2025-03-10 18:30:00",39.70,"Completed"
1027,7,107,323,"2025-03-12 08:00:00",NULL,0.00,"Cancelled"
1028,9,109,301,"2025-03-15 12:10:00","2025-03-15 13:00:00",27.40,"Completed"
1029,14,114,308,"2025-03-18 18:25:00","2025-03-18 19:20:00",44.60,"Completed"
1030,20,120,327,"2025-03-20 09:30:00","2025-03-20 10:25:00",40.30,"Completed"
1025,2,102,307,"2025-03-08 10:30:00","2025-03-08 11:20:00",5.20,"Completed"
