"payment_id","session_id","payment_date","payment_method","amount","payment_status"
5001,1001,"2025-01-05 09:06:00","UPI",426.00,"Completed"
5002,1002,"2025-01-07 19:11:00","Card",550.50,"Completed"
5003,1003,"2025-01-10 11:26:00","UPI",723.00,"Completed"
5004,1004,"2025-01-12 09:01:00","Card",384.00,"Completed"
5005,1005,"2025-01-15 20:56:00","Wallet",477.00,"Completed"
5006,1006,"2025-01-18 10:41:00","UPI",637.50,"Completed"
5007,1007,"2025-01-20 18:06:00","Card",583.50,"Completed"
5008,1008,"2025-01-22 13:06:00","UPI",231.00,"Completed"
5009,1009,"2025-01-25 09:46:00","Wallet",451.50,"Completed"
5010,1010,"2025-01-27 20:26:00","Card",417.00,"Completed"
5011,1011,"2025-02-02 19:26:00","UPI",222.00,"Completed"
5012,1012,"2025-02-04 11:51:00","Card",684.00,"Completed"
5013,1013,"2025-02-06 17:16:00","UPI",490.50,"Completed"
5014,1014,"2025-02-08 10:01:00","Wallet",319.50,"Completed"
5015,1015,"2025-02-10 21:46:00","Card",537.00,"Completed"
5016,1016,"2025-02-12 14:11:00","UPI",618.00,"Completed"
5017,1017,"2025-02-15 08:26:00","Card",444.00,"Completed"
5018,1018,"2025-02-17 19:31:00","UPI",511.50,"Completed"
5019,1019,"2025-02-20 11:36:00","Card",702.00,"Completed"
5020,1020,"2025-02-22 16:11:00","Wallet",562.50,"Completed"
5021,1021,"2025-02-25 21:01:00","UPI",648.00,"Completed"
5022,1022,"2025-03-01 09:06:00","Card",283.50,"Completed"
5023,1025,"2025-03-08 11:21:00","UPI",78.00,"Completed"
5024,1026,"2025-03-10 18:31:00","Card",595.50,"Completed"
5025,1028,"2025-03-15 13:01:00","Wallet",411.00,"Completed"
5026,1029,"2025-03-18 19:21:00","UPI",669.00,"Completed"
5027,1030,"2025-03-20 10:26:00","Card",604.50,"Completed"
5028,1005,"2025-01-15 20:57:00","Card",477.00,"Failed"
5029,1012,"2025-02-04 11:52:00","UPI",684.00,"Refunded"
