"station_id","location_id","station_name","total_chargers","opening_date"
201,1,"GreenCharge Malviya",8,"2024-06-15"
202,2,"GreenCharge Vaishali",6,"2024-08-10"
203,3,"VoltPoint Saket",10,"2024-05-20"
204,4,"VoltPoint Dwarka",8,"2024-09-05"
205,5,"ChargeGrid Andheri",12,"2024-04-18"
206,6,"ChargeGrid Whitefield",10,"2024-07-12"
207,7,"EcoCharge Hinjewadi",8,"2024-10-01"
208,8,"EcoCharge Gachibowli",10,"2024-06-28"
209,9,"PowerHub Prahlad",6,"2024-11-15"
210,10,"PowerHub Salt Lake",8,"2025-01-10"
